"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         274,      -4.231233892,     -0.9786697774,       -1.84164075,       2.010373807
          0,           0,         275,      -4.232257768,     -0.9792794861,      -1.848729083,       2.009866465
          0,           0,         276,      -4.232327198,     -0.9793013184,      -1.850086459,       2.009832144
          0,           0,         277,      -4.232605659,     -0.9794813397,      -1.852295029,       2.009607939
          0,           0,         278,       -4.23343876,     -0.9801201433,      -1.855943206,       2.008865712
          0,           0,         279,      -4.235130668,     -0.9814421747,      -1.862648344,       2.007443603
          0,           0,         280,      -4.235299226,     -0.9815645858,      -1.863687435,       2.007295719
          0,           0,         281,      -4.235721643,     -0.9818946417,      -1.865513684,       2.006904137
          0,           0,         282,      -4.236724186,     -0.9827199893,      -1.868736761,       2.005950201
          0,           0,         283,       -4.23868847,     -0.9843565857,      -1.874847052,        2.00413375
          0,           0,         284,      -4.238882475,     -0.9845097153,      -1.875709963,       2.003953872
          0,           0,         285,      -4.239308846,     -0.9848560901,      -1.877311214,       2.003550054
          0,           0,         286,      -4.240229779,     -0.9856253305,      -1.880255671,       2.002665784
          0,           0,         287,      -4.242024047,     -0.9871404434,      -1.885818477,       2.000968551
          0,           0,         288,       -4.24491967,     -0.9895345931,      -1.896590621,       1.998463509
          0,           0,         289,      -4.245210471,     -0.9897656207,      -1.898456019,       1.998195961
          0,           0,         290,      -4.245890806,      -0.990323657,      -1.901545919,        1.99754714
          0,           0,         291,      -4.247435771,     -0.9916360348,      -1.906781199,        1.99604038
          0,           0,         292,       -4.25045992,     -0.9942637889,      -1.916249624,       1.993123027
          0,           0,         293,      -4.250775907,     -0.9945275935,      -1.917606502,       1.992813668
          0,           0,         294,      -4.251460592,     -0.9951085681,      -1.920008994,       1.992133179
          0,           0,         295,      -4.252910593,     -0.9963662685,      -1.924289799,       1.990675334
          0,           0,         296,       -4.25569595,     -0.9988285701,      -1.932212365,       1.987886804
          0,           0,         297,       -4.25597693,       -0.99906671,      -1.933261625,       1.987606718
          0,           0,         298,      -4.256557515,     -0.9995642024,       -1.93520894,       1.987023108
          0,           0,         299,      -4.257740453,      -1.000594154,      -1.938786011,       1.985824207
          0,           0,         300,       -4.26001431,      -1.002607811,      -1.945401957,       1.983518601
          0,           0,         301,      -4.264026097,      -1.006234734,      -1.957405047,       1.979534489
          0,           0,         302,      -4.264413112,      -1.006568695,      -1.959442398,       1.979141926
          0,           0,         303,       -4.26523712,      -1.007281851,      -1.962694288,       1.978296735
          0,           0,         304,      -4.266963121,      -1.008803451,       -1.96809629,       1.976505887
          0,           0,         305,      -4.270293203,      -1.011830921,      -1.977527461,         1.9730437
          0,           0,         306,      -4.270612049,      -1.012103255,      -1.978836664,       1.972713325
          0,           0,         307,      -4.271270505,      -1.012668559,      -1.981090928,       1.972026981
